magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.969679770760201	0.0	0.0
-25.375	-5.969679770760201	0.0	0.0
-24.291666666666664	-5.969679770760201	0.0	0.0
-23.208333333333336	-4.271099161106785	3.092717213348092e-05	3.0
-22.125	-3.793977906387123	5.3567433469617314e-05	9.0
-21.041666666666668	-3.256858721992175	9.941694902680113e-05	31.0
-19.958333333333336	-2.8731591524347477	0.00015463586066740464	75.0
-18.875	-2.627646484620598	0.00020514765158698308	132.0
-17.791666666666668	-2.438590248400549	0.0002550319948160019	204.0
-16.708333333333336	-2.278398399848285	0.0003066836279573886	295.0
-15.625	-2.3041756199083716	0.00029771586755179873	278.0
-14.541666666666668	-2.3662033732515795	0.00027719673173754177	241.0
