magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.962413767286468	0.0	0.0
-25.375	-5.962413767286468	0.0	0.0
-24.291666666666664	-5.962413767286468	0.0	0.0
-23.208333333333336	-5.962413767286468	0.0	0.0
-22.125	-4.748220415826448	1.78558111565391e-05	1.0
-21.041666666666668	-3.6690391697788227	6.185434426696184e-05	12.0
-19.958333333333336	-3.204152371476172	0.00010563640339404556	35.0
-18.875	-3.058024335797934	0.00012499067809577374	49.0
-17.791666666666668	-3.1354365591067124	0.0001143329771954594	41.0
-16.708333333333336	-2.8789886960954716	0.00015360149547543798	74.0
-15.625	-2.9923455601539564	0.00013480841793933056	57.0
-14.541666666666668	-3.1249711254285475	0.0001157188820652681	42.0
