  0.0    0.0    23.91      5.0
  0.0119999
          3     700   3      0.0 0.0 0.0
  fid   sid   dummyXflux   z        mag
  0     0     0            0.46525   21.16230168523627952
  0     0     0            0.46525   21.03523969327092047
  0     0     0            0.46525   23.26516372459139603
  0     0     0            0.46525   27.08335785168991805
  0     0     0            0.46525   25.18221328399994263
  0     0     0            0.46525   27.16924867935991728
  0     0     0            0.46525   25.87747267267565121
  0     0     0            0.46525   22.24731117590723173
  0     0     0            0.46525   28.03219516781516774
  0     0     0            0.46525   28.02145606760664265
  0     0     0            0.46525   22.25112281674935488
  0     0     0            0.46525   21.36552296630569359
  0     0     0            0.46525   21.23576620142616278
  0     0     0            0.46525   21.21992269025319189
  0     0     0            0.46525   25.52418840365857733
  0     0     0            0.46525   27.45098420345320989
  0     0     0            0.46525   26.57391986328466515
  0     0     0            0.46525   22.69591692522507032
  0     0     0            0.46525   20.41254999541996185
  0     0     0            0.46525   20.57931799189927347
  0     0     0            0.46525   21.42860923823534591
  0     0     0            0.46525   24.14585283427738815
  0     0     0            0.46525   22.84831339259938687
  0     0     0            0.46525   22.21768830826970742
  0     0     0            0.46525   26.14998712804457881
  0     0     0            0.46525   27.20917679450537463
  0     0     0            0.46525   23.49634663397014833
  0     0     0            0.46525   23.93715015194112539
  0     0     0            0.46525   20.26912931711695265
  0     0     0            0.46525   21.46845553730915412
  0     0     0            0.46525   20.81822767060650037
  0     0     0            0.46525   23.74297435640863796
  0     0     0            0.46525   23.04258263811384211
  0     0     0            0.46525   22.50105130285268729
  0     0     0            0.46525   23.68750124701520221
  0     0     0            0.46525   25.71245635563400356
  0     0     0            0.46525   29.37489389732030531
  0     0     0            0.46525   22.97908149590985971
  0     0     0            0.46525   24.94366553096572403
  0     0     0            0.46525   21.22937793076596336
  0     0     0            0.46525   22.53503091910818412
  0     0     0            0.46525   22.61183306675377480
  0     0     0            0.46525   26.62531772130559204
  0     0     0            0.46525   25.33349121936397808
  0     0     0            0.46525   20.59832451678040499
  0     0     0            0.46525   20.23500007516664922
  0     0     0            0.46525   21.72109672442434203
  0     0     0            0.46525   20.90013356342586093
  0     0     0            0.46525   22.50189730481670836
  0     0     0            0.46525   25.39668573053156564
  0     0     0            0.46525   21.76722935065783560
  0     0     0            0.46525   22.41477237448097526
  0     0     0            0.46525   19.49880477908935816
  0     0     0            0.46525   23.04767337210054734
  0     0     0            0.46525   22.80977688622433774
  0     0     0            0.46525   24.88028434589226734
  0     0     0            0.46525   25.39807799795703858
  0     0     0            0.46525   19.17129394057569414
  0     0     0            0.46525   23.81380114611053145
  0     0     0            0.46525   25.74909431581824037
  0     0     0            0.46525   27.20708103288478696
  0     0     0            0.46525   19.69066184753253168
  0     0     0            0.46525   21.03325921834215251
  0     0     0            0.46525   24.14646536028761759
  0     0     0            0.46525   20.09806976529615241
  0     0     0            0.46525   21.40839708947100917
