  0.0    0.0    23.91      5.0
  0.0119999
          3     700   3      0.0 0.0 0.0
  fid   sid   dummyXflux   z        mag
  0     0     0            0.46525   21.25066769856338667
  0     0     0            0.46525   20.98996515355541703
  0     0     0            0.46525   23.72171411571177657
  0     0     0            0.46525   30.54737640372702856
  0     0     0            0.46525   25.86458295451252098
  0     0     0            0.46525   30.57955921071601324
  0     0     0            0.46525   27.23556308795859593
  0     0     0            0.46525   22.08761924693785872
  0     0     0            0.46525   30.60642968417547394
  0     0     0            0.46525   31.46409751402049437
  0     0     0            0.46525   22.43468523910114243
  0     0     0            0.46525   21.19838056519414238
  0     0     0            0.46525   21.14147700388607376
  0     0     0            0.46525   21.11561409457877403
  0     0     0            0.46525   26.30845410772277404
  0     0     0            0.46525   28.96854250971541234
  0     0     0            0.46525   28.32638002987390280
  0     0     0            0.46525   22.60995351408207910
  0     0     0            0.46525   20.40379054681869775
  0     0     0            0.46525   20.49157483609882391
  0     0     0            0.46525   21.40600999611173094
  0     0     0            0.46525   26.61984009549244234
  0     0     0            0.46525   22.74340076698059221
  0     0     0            0.46525   22.41633128216950510
  0     0     0            0.46525   26.80796271653826324
  0     0     0            0.46525   29.17569207702678113
  0     0     0            0.46525   23.38233571189518045
  0     0     0            0.46525   25.55329840491575766
  0     0     0            0.46525   20.31456524261556851
  0     0     0            0.46525   21.39068345088046996
  0     0     0            0.46525   20.82205694872600432
  0     0     0            0.46525   23.93164469059911070
  0     0     0            0.46525   23.14238577330718982
  0     0     0            0.46525   22.33359675158169466
  0     0     0            0.46525   24.39335106127313679
  0     0     0            0.46525   27.72419669426270872
  0     0     0            0.46525   31.91743657554960123
  0     0     0            0.46525   23.33736124404506640
  0     0     0            0.46525   27.58307724049613086
  0     0     0            0.46525   21.25286004941833795
  0     0     0            0.46525   22.47461195281569246
  0     0     0            0.46525   22.64501066658076667
  0     0     0            0.46525   28.85107090196155610
  0     0     0            0.46525   26.06790860587921799
  0     0     0            0.46525   20.59365291957985988
  0     0     0            0.46525   20.22370385096058598
  0     0     0            0.46525   21.76392019894650787
  0     0     0            0.46525   20.85958105922092898
  0     0     0            0.46525   22.68012661562456955
  0     0     0            0.46525   25.61508821588945040
  0     0     0            0.46525   21.88488647235107365
  0     0     0            0.46525   22.48337371179649580
  0     0     0            0.46525   19.44626464476295169
  0     0     0            0.46525   23.10373747147747281
  0     0     0            0.46525   22.77248100863680591
  0     0     0            0.46525   24.87366412128329785
  0     0     0            0.46525   25.90859354223508149
  0     0     0            0.46525   19.09114842467795370
  0     0     0            0.46525   24.09143436178780107
  0     0     0            0.46525   25.84767651509087472
  0     0     0            0.46525   29.59559420538379015
  0     0     0            0.46525   19.64183725036060935
  0     0     0            0.46525   20.98779444852386078
  0     0     0            0.46525   24.39736995924483764
  0     0     0            0.46525   20.00520921980579914
  0     0     0            0.46525   21.49351571489593482
  0     0     0            0.46525   20.99361949782586834
  0     0     0            0.46525   21.69299639329823748
  0     0     0            0.46525   23.03939470960946778
  0     0     0            0.46525   23.10760229453922676
  0     0     0            0.46525   24.73383578270370364
  0     0     0            0.46525   22.68641127726736784
  0     0     0            0.46525   30.55314248592200244
  0     0     0            0.46525   20.68182423970307582
  0     0     0            0.46525   31.29775632105218364
  0     0     0            0.46525   23.99974833823676690
  0     0     0            0.46525   32.34420632161657494
  0     0     0            0.46525   21.45902437996607404
  0     0     0            0.46525   21.12733604008092669
  0     0     0            0.46525   20.80933770053918863
  0     0     0            0.46525   29.72458539957028734
  0     0     0            0.46525   27.33114884812832202
  0     0     0            0.46525   21.48820637606676343
  0     0     0            0.46525   25.32842679750197590
  0     0     0            0.46525   22.88291486769475114
  0     0     0            0.46525   20.82578595789068032
  0     0     0            0.46525   21.22468039035976162
  0     0     0            0.46525   28.07455091840625983
  0     0     0            0.46525   25.80698070352336515
  0     0     0            0.46525   19.71589390196511005
  0     0     0            0.46525   19.64952479545642205
  0     0     0            0.46525   21.34569269414845039
  0     0     0            0.46525   20.91456071280290985
  0     0     0            0.46525   19.89175735442798754
  0     0     0            0.46525   21.53227838954905593
  0     0     0            0.46525   32.02026633603492911
  0     0     0            0.46525   23.14691291830337860
  0     0     0            0.46525   20.21365591868427813
  0     0     0            0.46525   20.10508010165432324
  0     0     0            0.46525   20.48740163968963301
  0     0     0            0.46525   21.70637143411503800
  0     0     0            0.46525   21.38069272232062445
  0     0     0            0.46525   21.46721930125261224
  0     0     0            0.46525   26.66373518478591365
  0     0     0            0.46525   20.32637143706759986
  0     0     0            0.46525   24.60645750053611991
  0     0     0            0.46525   22.15587052129269097
  0     0     0            0.46525   21.08399866799356914
  0     0     0            0.46525   23.62672580722238180
  0     0     0            0.46525   21.44269006947008904
  0     0     0            0.46525   22.48865549670437858
  0     0     0            0.46525   22.07398178660687194
  0     0     0            0.46525   20.72067229037586245
  0     0     0            0.46525   21.67674986039862972
  0     0     0            0.46525   20.39320540504876433
  0     0     0            0.46525   23.74675274522310175
  0     0     0            0.46525   24.32019604405020274
  0     0     0            0.46525   22.79933133255955013
  0     0     0            0.46525   27.94296634001634771
  0     0     0            0.46525   20.64924456239807427
  0     0     0            0.46525   22.19116557941090662
  0     0     0            0.46525   24.56677911001204251
  0     0     0            0.46525   24.88616987336819619
  0     0     0            0.46525   20.81944257422696509
  0     0     0            0.46525   22.57942297543092280
  0     0     0            0.46525   22.53911673408768834
  0     0     0            0.46525   21.74850513669279906
  0     0     0            0.46525   20.52731185945524928
  0     0     0            0.46525   21.85005793467628621
  0     0     0            0.46525   21.84509314841189465
  0     0     0            0.46525   22.06205335301475401
  0     0     0            0.46525   20.46435674433741170
  0     0     0            0.46525   20.57558566223607954
  0     0     0            0.46525   22.47749880139682688
  0     0     0            0.46525   21.70153387294554648
  0     0     0            0.46525   21.88847985867851875
  0     0     0            0.46525   20.68570338249149287
  0     0     0            0.46525   28.66277676882432246
  0     0     0            0.46525   22.25887336506616876
  0     0     0            0.46525   22.23043410691707322
  0     0     0            0.46525   29.61589936923604682
  0     0     0            0.46525   25.94301931386311111
  0     0     0            0.46525   21.80143827009308666
  0     0     0            0.46525   20.48632952397353435
  0     0     0            0.46525   23.06640084338805607
  0     0     0            0.46525   22.10457611585459858
  0     0     0            0.46525   21.18988518116584530
  0     0     0            0.46525   21.03243449893938077
  0     0     0            0.46525   25.61357989260364576
  0     0     0            0.46525   29.68484753493616779
  0     0     0            0.46525   30.49727812916812297
  0     0     0            0.46525   29.58125880723419954
  0     0     0            0.46525   21.11439723304735594
  0     0     0            0.46525   25.46850729217985787
  0     0     0            0.46525   21.37915703392852151
  0     0     0            0.46525   21.79599217922168464
  0     0     0            0.46525   21.87474783657264510
  0     0     0            0.46525   23.42939335511141863
  0     0     0            0.46525   26.74959762646311390
  0     0     0            0.46525   23.04033687382730022
  0     0     0            0.46525   21.92844283614567402
  0     0     0            0.46525   22.74600652090382624
  0     0     0            0.46525   21.98836712623055689
  0     0     0            0.46525   21.83478992663541263
  0     0     0            0.46525   23.42564462699612804
  0     0     0            0.46525   26.67438748623138878
  0     0     0            0.46525   27.65799737147854387
  0     0     0            0.46525   23.71959437778434321
  0     0     0            0.46525   25.28669313249414330
  0     0     0            0.46525   23.54866588317921838
  0     0     0            0.46525   21.48376761110851874
  0     0     0            0.46525   23.11464174045159226
  0     0     0            0.46525   23.74433837048052709
  0     0     0            0.46525   23.00745696662305662
  0     0     0            0.46525   21.97822622507200307
  0     0     0            0.46525   24.72289730357757520
  0     0     0            0.46525   25.57660429878402653
  0     0     0            0.46525   22.28518776759796793
  0     0     0            0.46525   21.18272713455348111
  0     0     0            0.46525   22.50276382217213822
  0     0     0            0.46525   24.28086781613124501
  0     0     0            0.46525   23.16046284936438937
  0     0     0            0.46525   25.53694873870729509
  0     0     0            0.46525   22.36202491776158396
  0     0     0            0.46525   22.95075753209194147
  0     0     0            0.46525   22.40609297220517959
  0     0     0            0.46525   25.05066188346028611
  0     0     0            0.46525   23.96597343253871415
  0     0     0            0.46525   22.06683665367276603
  0     0     0            0.46525   22.28813149424981432
  0     0     0            0.46525   23.53241388030237857
  0     0     0            0.46525   23.33741439043991761
  0     0     0            0.46525   25.64859063352401591
  0     0     0            0.46525   23.17014274637862314
  0     0     0            0.46525   21.62634297579107212
  0     0     0            0.46525   27.64949204263530902
  0     0     0            0.46525   21.78230181843782987
  0     0     0            0.46525   22.14325250074853457
  0     0     0            0.46525   23.37510334180822014
  0     0     0            0.46525   24.76454215041836804
  0     0     0            0.46525   23.49413707749716806
  0     0     0            0.46525   25.65812433730381059
  0     0     0            0.46525   22.51316048064991193
  0     0     0            0.46525   26.01898359890120815
  0     0     0            0.46525   26.72795296454933123
  0     0     0            0.46525   22.66786006416215216
  0     0     0            0.46525   21.51686845292987016
  0     0     0            0.46525   22.20413069990100752
  0     0     0            0.46525   26.24361768334873801
  0     0     0            0.46525   23.60119102984984352
  0     0     0            0.46525   23.75246017852652969
  0     0     0            0.46525   26.00202326095124761
  0     0     0            0.46525   24.74870432493402106
  0     0     0            0.46525   25.83261696930835427
  0     0     0            0.46525   24.69637928171169960
  0     0     0            0.46525   25.64315969001030027
  0     0     0            0.46525   26.70390587991756348
  0     0     0            0.46525   30.37373637670001614
  0     0     0            0.46525   24.47371799045491514
  0     0     0            0.46525   26.85459382027615760
  0     0     0            0.46525   26.85727936542853911
  0     0     0            0.46525   21.40010062600162044
  0     0     0            0.46525   26.65672906019421617
  0     0     0            0.46525   24.54665795433318465
  0     0     0            0.46525   21.40245478556291658
  0     0     0            0.46525   22.32686663821142048
  0     0     0            0.46525   22.35021070257700160
  0     0     0            0.46525   24.80517469777836226
  0     0     0            0.46525   22.66130916718427457
  0     0     0            0.46525   24.58313613879577275
  0     0     0            0.46525   24.35151289643624040
  0     0     0            0.46525   26.35564364942735693
