H 1 1215.67A
H 1 1025.72A
H 1 972.537A
H 1 913.215A
H 1 6562.81A
H 1 4861.33A
H 1 4340.46A
H 1 4101.73A
H 1 3970.07A
H 1 3889.05A
H 1 3835.38A
H 1 3797.89A
H 1 3770.63A
H 1 3750.15A
H 1 3734.36A
H 1 3721.93A
H 1 3711.97A
H 1 3703.85A
H 1 3697.15A
H 1 3691.55A
H 1 3686.83A
H 1 3682.80A
H 1 3679.35A
H 1 3676.36A
H 1 3673.75A
H 1 3671.47A
H 1 3669.46A
H 1 1.87510m
H 1 1.28180m
H 1 1.09380m
H 1 1.00493m
H 1 9545.93A
H 1 9228.97A
H 1 9014.87A
H 1 8862.74A
H 1 8750.43A
H 1 8664.98A
H 1 8323.38A
H 1 4.05113m
H 1 2.62513m
H 1 2.16551m
H 1 1.94454m
H 1 1.81740m
H 1 4.65247m
H 1 3.73951m
He 2 303.784A
He 1 584.334A
He 1 625.563A
He 1 1.08303m
He 1 3888.63A
He 1 3187.74A
He 1 2945.10A
He 1 2.05813m
He 1 5015.68A
He 1 7065.22A
He 1 5875.64A
He 1 4471.49A
He 1 4026.20A
He 1 3819.61A
He 1 3704.76A
He 1 6678.15A
He 1 4921.93A
He 1 1.86854m
Ar 3 7135.79A
Ar 3 7751.11A
C 2 1037.02A
C 2 2325.40A
C 2 2326.93A
C 3 1908.73A
C 3 1906.68A
C 3 977.020A
Fe 2 1.25668m
Fe 2 2382.04A
Fe 2 1.32055m
Fe 2 2625.67A
Fe 2 1.64355m
Fe 2 1.80939m
Fe 3 4881.12A
Fe 3 4658.01A
Fe 3 5270.40A
Fe 3 4701.62A
Ne 3 3868.76A
Ne 3 3967.47A
O 1 6300.30A
O 2 2470.34A
O 2 3728.81A
O 2 3726.03A
O 3 4958.91A
O 3 5006.84A
O 3 4363.21A
O 3 1666.15A
O 3 508.178A
S 2 6730.82A
S 2 6716.44A
S 3 9068.62A
S 3 9530.62A
S 3 6312.06A
Si 2 1265.00A
Si 2 1197.39A
Si 2 1194.50A
Si 3 1892.03A
Si 3 1882.71A
Si 3 1206.50A
Al 2 2660.35A
Ca 2 7291.47A
Cl 3 5517.71A
Fe 4 3094.96A
Fe 4 2835.74A
Fe 4 2829.36A
Fe 4 2567.61A
Mg 2 2802.71A
Mg 2 2795.53A
N 2 6548.05A
N 2 6583.45A
N 3 991.511A
Si 2 1179.59A
C 2R 1335.00A
