magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.971039206720348	0.0	0.0
-25.375	-4.748220415826448	1.78558111565391e-05	1.0
-24.291666666666664	-4.748220415826448	1.78558111565391e-05	1.0
-23.208333333333336	-4.271099161106785	3.092717213348092e-05	3.0
-22.125	-3.748220415826448	5.646503272450892e-05	10.0
-21.041666666666668	-3.4057977350042417	8.375117805306203e-05	22.0
-19.958333333333336	-3.049250411490429	0.0001262596515237521	50.0
-18.875	-2.948879866372866	0.00014172610733260524	63.0
-17.791666666666668	-2.7797374672725126	0.0001721952068479048	93.0
-16.708333333333336	-2.7270311167565096	0.0001829676178073283	105.0
-15.625	-2.647849870708885	0.0002004309831321153	126.0
-14.541666666666668	-2.793977906387123	0.00016939509817352676	90.0
