magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.99880842356727	0.0	0.0
-25.375	-5.99880842356727	0.0	0.0
-24.291666666666664	-5.99880842356727	0.0	0.0
-23.208333333333336	-5.99880842356727	0.0	0.0
-22.125	-4.271099161106785	3.092717213348092e-05	3.0
-21.041666666666668	-3.256858721992175	9.941694902680113e-05	31.0
-19.958333333333336	-2.710793917885824	0.00018642014143949284	109.0
-18.875	-2.634277063519611	0.00020358757075896903	130.0
-17.791666666666668	-2.555095817471986	0.000223019009864733	156.0
-16.708333333333336	-2.423937960528755	0.0002593706389016211	211.0
-15.625	-2.4057977350042417	0.0002648444793699823	220.0
-14.541666666666668	-2.4137666646755167	0.0002624257576620958	216.0
