hidden_features,num_transforms,num_nets,batch_size,learning_rate,epochs,composite_score,val_loss,avg_rmse,avg_r2
20,2,1,16,0.001,20,9.110142420782585,-6.673109878193248,2.5853822,0.14834968053993455
30,2,1,16,0.001,20,9.572702842860645,-7.158917253667658,2.569523,0.15573750689160828
30,2,1,16,0.0001,20,9.466858793525994,-7.036024180325595,2.5721524,0.1413177629745271
30,2,1,16,0.0001,20,9.324212710128984,-6.88646767356179,2.5778322,0.14008718541766815
