magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.968536989949042	0.0	0.0
-25.375	-5.968536989949042	0.0	0.0
-24.291666666666664	-5.968536989949042	0.0	0.0
-23.208333333333336	-5.968536989949042	0.0	0.0
-22.125	-4.748220415826448	1.78558111565391e-05	1.0
-21.041666666666668	-4.146160424498485	3.57116223130782e-05	4.0
-19.958333333333336	-3.634277063519611	6.43800426899037e-05	13.0
-18.875	-3.4057977350042417	8.375117805306203e-05	22.0
-17.791666666666668	-3.2858224179274917	9.615648584303402e-05	29.0
-16.708333333333336	-3.015826656003479	0.0001312128788310479	54.0
-15.625	-2.9773684041843036	0.0001371530879397952	59.0
-14.541666666666668	-3.1571558087999487	0.0001115095049323665	39.0
